,row_name,col_name,R2
45,LCD,P_CH4,0.008600394484913796
480,Qst_H2O,P_CH4 log10,0.00843943296635471
385,P_CH4,DC_CO2 log10,0.007803981217671977
148,GSA (m2/g),K0_H2O log10,0.0075982856381589066
152,GSA (m2/g),P_CH4 log10,0.007429967627282138
106,VSA (m2/cc),P_CH4,0.007086431548326401
303,K0_H2O,DC_CO2 log10,0.006975171934334512
409,P_H2S,Qst_CO2,0.006801089127638826
400,P_CO2,K0_H2S log10,0.006712216533541242
434,Qst_CH4,K0_H2O log10,0.006649332663830762
379,P_CH4,PV (cc/g) log10,0.006571680605886276
269,K0_H2S,Qst_CO2,0.006521236831267696
341,DC_CO2,K0_CH4 log10,0.0062603453354309335
453,Qst_CO2,P_CH4 log10,0.006157214599259607
253,K0_CO2,K0_H2S log10,0.006146827989901703
381,P_CH4,K0_CO2 log10,0.005978292449750823
416,P_H2S,K0_CO2 log10,0.005846818464229791
423,P_H2S,P_CO2 log10,0.005761193211078503
427,Qst_CH4,Qst_H2O,0.005666337740539293
377,P_CH4,PLD log10,0.005642287261549487
401,P_CO2,K0_H2O log10,0.005527503688755019
276,K0_H2S,K0_CO2 log10,0.005491066157950593
393,P_CO2,Qst_H2S,0.005463655536174699
135,GSA (m2/g),P_CH4,0.005363887149159897
375,P_CH4,Qst_H2S,0.005217658396636413
254,K0_CO2,K0_H2O log10,0.0051276138041248835
246,K0_CO2,Qst_H2S,0.005048023366219854
215,K0_CH4,DC_H2S,0.00500533015401762
275,K0_H2S,K0_CH4 log10,0.004937501191133966
13,PLD,P_CH4,0.004929142714283797
543,K0_H2O log10,P_CH4 log10,0.0047253739378854505
394,P_CO2,Qst_H2O,0.0047091283875204505
278,K0_H2S,K0_H2O log10,0.004698873112313436
283,K0_H2S,P_CO2 log10,0.004651481809308196
190,PV (cc/g),P_CH4,0.004477275071584553
467,Qst_H2S,P_CH4 log10,0.004424046649513911
247,K0_CO2,Qst_H2O,0.004385994804146151
361,DC_H2S,K0_CH4 log10,0.004270992391695352
418,P_H2S,K0_H2O log10,0.004241376879242528
404,P_CO2,DC_H2S log10,0.0041283775850891125
93,Density (g/cc),P_CH4 log10,0.004055224084566898
550,DC_CH4 log10,P_H2S log10,0.004054824711711499
329,DC_CH4,P_H2S log10,0.0039931632844052885
271,K0_H2S,Qst_H2O,0.003991860503268711
257,K0_CO2,DC_H2S log10,0.00367050781486458
293,K0_H2O,Qst_H2S,0.003643482887879477
411,P_H2S,Qst_H2O,0.0035684230050015042
372,P_CH4,P_H2S,0.0034094836731558852
415,P_H2S,K0_CH4 log10,0.00336526553517635
280,K0_H2S,DC_CO2 log10,0.0029435229282816816
557,DC_H2S log10,P_H2S log10,0.002727845055239713
407,P_CO2,P_H2S log10,0.002722200403118823
300,K0_H2O,K0_H2S log10,0.0026922937004809203
376,P_CH4,Qst_H2O,0.0026490771520041693
119,VSA (m2/cc),K0_H2O log10,0.002589545037926099
260,K0_CO2,P_H2S log10,0.0025415110687526895
213,K0_CH4,DC_CH4,0.0025065746393978564
420,P_H2S,DC_CO2 log10,0.0024849296046678916
76,Density (g/cc),P_CH4,0.0022812220594858176
72,Density (g/cc),K0_H2O,0.002197640989357182
256,K0_CO2,DC_CO2 log10,0.00214232014352482
383,P_CH4,K0_H2O log10,0.00210249264902019
297,K0_H2O,PV (cc/g) log10,0.002095346937684213
403,P_CO2,DC_CO2 log10,0.002077886372277761
286,K0_H2O,DC_CO2,0.0020366718722210184
281,K0_H2S,DC_H2S log10,0.0019840988346345
231,K0_CH4,DC_CO2 log10,0.001965434548687945
374,P_CH4,Qst_CO2,0.0018937532107693353
549,DC_CH4 log10,P_CO2 log10,0.0018429369046574424
304,K0_H2O,DC_H2S log10,0.0018145440429978249
328,DC_CH4,P_CO2 log10,0.0017310087999131115
307,K0_H2O,P_H2S log10,0.0016395082969920605
282,K0_H2S,P_CH4 log10,0.0014562735888378339
414,P_H2S,PV (cc/g) log10,0.0013632834078377322
296,K0_H2O,LCD log10,0.0013304475986352297
298,K0_H2O,K0_CH4 log10,0.001196463003362334
108,VSA (m2/cc),P_H2S,0.0011940095927675
78,Density (g/cc),P_H2S,0.0011836172869034984
421,P_H2S,DC_H2S log10,0.001162483559194727
169,VF,Qst_H2O,0.0011459274826289016
159,VF,K0_H2O,0.0011237832389740137
165,VF,P_H2S,0.0010996628051687816
131,GSA (m2/g),K0_H2O,0.0010608220192626899
274,K0_H2S,PV (cc/g) log10,0.0010342317397313615
102,VSA (m2/cc),K0_H2O,0.0010053237251521116
186,PV (cc/g),K0_H2O,0.0009994222640570345
71,Density (g/cc),K0_H2S,0.0009914164002624516
41,LCD,K0_H2O,0.0009222389711084598
295,K0_H2O,PLD log10,0.0009033233665170294
287,K0_H2O,DC_H2S,0.000857577328570543
101,VSA (m2/cc),K0_H2S,0.0008306446501101559
107,VSA (m2/cc),P_CO2,0.0007428514833725015
158,VF,K0_H2S,0.0007396273315736461
137,GSA (m2/g),P_H2S,0.0007353447961797152
305,K0_H2O,P_CH4 log10,0.0007345652983503563
9,PLD,K0_H2O,0.0007020511370218913
263,K0_H2S,DC_CO2,0.0006911400852797632
100,VSA (m2/cc),K0_CO2,0.0006616731342086248
332,DC_CO2,P_CO2,0.0006043513481553886
192,PV (cc/g),P_H2S,0.0005816403835916164
239,K0_CO2,DC_CO2,0.0005754047975580452
520,K0_CH4 log10,DC_CO2 log10,0.0005596886280993207
395,P_CO2,PLD log10,0.0005510925143438453
212,K0_CH4,K0_H2O,0.0005401134053310733
218,K0_CH4,P_H2S,0.0005395727682564458
130,GSA (m2/g),K0_H2S,0.0005138360814468482
264,K0_H2S,DC_H2S,0.0005115385603146956
352,DC_H2S,P_CO2,0.000499094590607972
248,K0_CO2,PLD log10,0.0004901948075133415
312,DC_CH4,P_H2S,0.00048656490545536546
112,VSA (m2/cc),Qst_H2O,0.00047945343627012866
268,K0_H2S,Qst_CH4,0.00047385452915303547
419,P_H2S,DC_CH4 log10,0.0004617490848453803
285,K0_H2O,DC_CH4,0.00046070166732012276
240,K0_CO2,DC_H2S,0.0004590406996914246
136,GSA (m2/g),P_CO2,0.0004188928754839832
185,PV (cc/g),K0_H2S,0.00041770481095909195
261,K0_H2S,K0_H2O,0.0004068150529198749
422,P_H2S,P_CH4 log10,0.00039158003509681216
129,GSA (m2/g),K0_CO2,0.0003738846744644027
14,PLD,P_CO2,0.0003614304997457498
370,DC_H2S,P_H2S log10,0.00034902802192875605
397,P_CO2,PV (cc/g) log10,0.00032877294209851456
7,PLD,K0_CO2,0.00032311322470981085
290,K0_H2O,P_H2S,0.00030797884044046666
333,DC_CO2,P_H2S,0.00030647187509949336
396,P_CO2,LCD log10,0.0003048203155606444
302,K0_H2O,DC_CH4 log10,0.00028106918035889037
540,K0_H2O log10,DC_CH4 log10,0.00027265466157821614
250,K0_CO2,PV (cc/g) log10,0.0002699192678052713
176,VF,K0_H2O log10,0.00026758061604807075
211,K0_CH4,K0_H2S,0.0002500045865992945
249,K0_CO2,LCD log10,0.0002451862645240882
164,VF,P_CO2,0.00024049249365343
46,LCD,P_CO2,0.00023244926325513673
77,Density (g/cc),P_CO2,0.0002321404579385668
272,K0_H2S,PLD log10,0.00022215550943209861
191,PV (cc/g),P_CO2,0.00021515536060942055
157,VF,K0_CO2,0.00020736706313001692
39,LCD,K0_CO2,0.00019593377234300313
279,K0_H2S,DC_CH4 log10,0.0001891110742288563
184,PV (cc/g),K0_CO2,0.0001861140472894458
70,Density (g/cc),K0_CO2,0.000174007944323946
123,VSA (m2/cc),P_CH4 log10,0.00013731402996942902
