MOF Name,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
AGAXIP_stripped.cif,6.78106,8.05491,0.793145,1921.39,2422.49,0.67036,0.845192,1.73E-05,0.000580106,0.000301984,2.62909,0.000497907,5.99E-05,0.000110556,2044076.965,8232516.781,7904469.659,-16.89705306,-36.80143293,-28.32733674,-64.15333744
AGAYAI_stripped.cif,7.74045,9.94297,0.642935,2126.32,3307.21,0.74632,1.1608,6.28E-06,1.55E-05,2.84E-05,4.86E-05,0.001092558,0.000512846,0.00058347,1317545.716,1524006.889,3184523.836,-12.6046474,-17.20920272,-17.99342225,-30.00050361
AGOFAF_stripped.cif,3.82407,6.33336,1.01388,531.92,524.64,0.59118,0.583089,2.81E-05,0.000126301,0.000410874,7.24E-06,0.000170037,0.000119318,9.03E-05,1445316.161,4560956.263,11228866.87,-21.00987632,-27.59642144,-29.73984628,-18.79327796
AGOFEJ_stripped.cif,8.71559,12.6138,0.583675,1896.05,3248.48,0.75884,1.30011,1.03E-05,2.58E-05,9.02E-05,1.91E-05,0.000390792,0.000252958,0.000224201,700171.9277,1138975.787,3524615.388,-16.04309022,-20.89375001,-25.12451086,-25.66240239
AGOHOV_stripped.cif,3.98645,4.7964,1.3562,579.683,427.433,0.46636,0.343874,7.25E-05,0.00037904,0.00173635,7.51E-06,0.000221854,0.000125059,0.000155003,6512566.328,19190176.66,108957567.3,-25.85150684,-32.39833033,-34.81980772,-21.23831893
AGOVID_stripped.cif,8.64841,12.48057,0.64221,2031.03,3162.56,0.7613,1.18544,1.05E-05,3.67E-05,5.98E-05,3.70E-06,0.000619385,0.00022843,0.000266813,1247459.554,1605540.871,3060533.814,-14.43018743,-21.83856409,-21.81171813,-14.79713259
AGOWAW_stripped.cif,8.32661,13.59793,0.746106,1835.7,2460.37,0.73366,0.983318,1.95E-05,9.73E-05,0.000177909,3.76E-06,0.00026002,0.000131924,6.76E-05,1129880.618,2857553.922,2677023.929,-18.62572582,-27.40043179,-26.84719201,-15.49911565
AGOWEA_stripped.cif,4.54136,8.31511,1.19036,1009.76,848.28,0.62074,0.521472,4.05E-05,0.000202201,0.000686627,6.31E-06,0.000181172,7.10E-05,1.40E-05,2609891.546,5103088.075,3427247.807,-22.7089511,-30.54450857,-32.82448241,-21.13342779
AGPYNO01_stripped.cif,6.0457,6.28848,0.886099,3598.65,4061.23,0.81118,0.915451,8.05E-07,0.000005616,1.29E-05,0.000871198,0.004300589,0.0006954,0.001038558,915466.6394,1032997.408,3544066.349,-6.690112803,-16.66740712,-17.07876952,-34.44629971
AGUSUR_stripped.cif,4.17466,4.88709,1.26317,314.257,248.784,0.43354,0.343215,5.56E-06,0.000063038,0.00166218,0.378171,0.000593905,0.000149165,0.00011033,1245621.707,3545580.69,69149221.48,-15.5553202,-27.77670397,-38.8242861,-58.44024928
AGUVAA_stripped.cif,4.21864,6.10311,0.975981,1975.42,2024.04,0.6351,0.65073,7.06E-06,4.60E-05,0.000079157,0.00429425,0.000628141,0.00029275,0.000224488,1291576.964,3923645.04,5177020.808,-14.68343279,-23.810046,-23.35070532,-47.15633949
AGUXOR_stripped.cif,3.8345,5.65846,1.54136,851.112,552.181,0.5132,0.332952,3.83E-06,0.0098641,0.0364188,933547,0.000181828,1.16E-05,1.23E-05,320725.2436,52664215.09,205661874.6,-16.37556806,-46.86941105,-47.68099354,-97.81897164
AHAYIT_stripped.cif,4.57718,6.80261,1.15248,984.395,854.151,0.52758,0.457777,2.10E-05,0.000122499,0.000521414,1.39E-05,0.000157981,0.00010892,8.82E-05,1143994.359,4590165.788,15822707.5,-22.11767657,-30.17122352,-33.90029289,-24.91873661
