,row_name,col_name,R2
156,VF,K0_CH4,0.07516079420726574
556,DC_H2S log10,P_CO2 log10,0.07346195163853665
153,GSA (m2/g),P_CO2 log10,0.07301989136611307
6,PLD,K0_CH4,0.07256028304409369
95,Density (g/cc),P_H2S log10,0.07214507538614659
482,Qst_H2O,P_H2S log10,0.07080305602729327
146,GSA (m2/g),K0_CO2 log10,0.06926946747275016
61,LCD,DC_H2S log10,0.06914065450727519
125,VSA (m2/cc),P_H2S log10,0.06872185387226003
38,LCD,K0_CH4,0.06809869299106866
121,VSA (m2/cc),DC_CO2 log10,0.06734040502389885
507,PV (cc/g) log10,K0_CO2 log10,0.06698118005819334
503,LCD log10,P_CH4 log10,0.06651873166175132
502,LCD log10,DC_H2S log10,0.06647889360216193
519,K0_CH4 log10,DC_CH4 log10,0.06561225905662343
380,P_CH4,K0_CH4 log10,0.06434994902214836
29,PLD,DC_H2S log10,0.06235025905846183
110,VSA (m2/cc),Qst_CO2,0.060954111854772765
116,VSA (m2/cc),K0_CH4 log10,0.05984515834708025
181,VF,P_CO2 log10,0.058411527306020436
537,K0_H2S log10,P_CH4 log10,0.058275700022607506
62,LCD,P_CH4 log10,0.055537289623686766
75,Density (g/cc),DC_H2S,0.053276107377122184
552,DC_CO2 log10,P_CH4 log10,0.052450333893797794
92,Density (g/cc),DC_H2S log10,0.0524387566457681
516,K0_CH4 log10,K0_CO2 log10,0.051908741695170235
322,DC_CH4,K0_H2S log10,0.05028320266807249
94,Density (g/cc),P_CO2 log10,0.049326007461893875
73,Density (g/cc),DC_CH4,0.04892563452847625
128,GSA (m2/g),K0_CH4,0.048229937264505016
348,DC_CO2,P_CH4 log10,0.04807567270470602
90,Density (g/cc),DC_CH4 log10,0.0469052916507412
436,Qst_CH4,DC_CO2 log10,0.04649742778891988
460,Qst_H2S,K0_CH4 log10,0.04644748797368036
221,K0_CH4,Qst_H2S,0.04416614380691716
554,DC_CO2 log10,P_H2S log10,0.04398109372545988
350,DC_CO2,P_H2S log10,0.043787927063752785
174,VF,K0_CO2 log10,0.0429801480844133
145,GSA (m2/g),K0_CH4 log10,0.04183958357781391
30,PLD,P_CH4 log10,0.041134448925827856
492,PLD log10,P_CH4 log10,0.040042317351808146
473,Qst_H2O,K0_CH4 log10,0.03942087018498943
450,Qst_CO2,DC_CH4 log10,0.038557529657753324
373,P_CH4,Qst_CH4,0.037256635851188546
388,P_CH4,P_CO2 log10,0.03654321241925409
406,P_CO2,P_CO2 log10,0.03631511009529506
530,K0_CO2 log10,P_CH4 log10,0.03521968465763687
88,Density (g/cc),K0_H2S log10,0.03453035927472208
518,K0_CH4 log10,K0_H2O log10,0.03434285655774276
259,K0_CO2,P_CO2 log10,0.03391508492325869
384,P_CH4,DC_CH4 log10,0.03271353977044176
222,K0_CH4,Qst_H2O,0.03222641418281203
320,DC_CH4,K0_CH4 log10,0.03205276644572815
87,Density (g/cc),K0_CO2 log10,0.0314079174698953
314,DC_CH4,Qst_CO2,0.03088684998910341
227,K0_CH4,K0_CO2 log10,0.029926350373580223
424,P_H2S,P_H2S log10,0.02974336064091797
229,K0_CH4,K0_H2O log10,0.02903162638011659
